Trial,Type,DataSizeMB,HashDivergence,EncryptMs,DecryptMs,SignMs,VerifyMs,IpfsUploadMs,IpfsFetchMs,FabricLatencyMs,Success
1,SEQUENTIAL,2,100%,34.94,39.90,1.81,7.24,67170.38,11600.73,2357.80,true
2,SEQUENTIAL,2,100%,26.54,23.22,0.30,5.32,35168.40,7967.69,2209.64,true
3,SEQUENTIAL,2,100%,29.42,42.40,0.13,5.39,34825.99,10207.82,2162.75,true
4,SEQUENTIAL,2,100%,20.98,19.09,0.12,5.53,24384.19,11453.84,2171.43,true
5,SEQUENTIAL,2,100%,24.72,19.34,0.16,5.95,26173.38,19918.28,2192.39,true
6,SEQUENTIAL,2,100%,28.20,22.85,0.14,7.08,28168.45,10958.58,2190.68,true
7,SEQUENTIAL,2,100%,29.73,21.40,0.16,5.63,25625.33,11357.87,2208.08,true
8,SEQUENTIAL,2,100%,22.85,27.96,0.14,5.17,25764.35,9190.10,2217.95,true
9,SEQUENTIAL,2,100%,19.87,18.83,2.57,5.70,26723.25,7298.68,2187.32,true
10,SEQUENTIAL,2,100%,17.99,18.06,0.27,6.08,27133.01,9667.28,2185.24,true
11,SEQUENTIAL,2,100%,32.99,19.33,0.13,5.01,26797.13,17670.64,2152.11,true
12,SEQUENTIAL,2,100%,20.37,25.21,0.15,5.51,25367.05,10086.96,2237.02,true
13,SEQUENTIAL,2,100%,30.95,21.17,0.15,5.70,27147.64,19894.35,2249.13,true
14,SEQUENTIAL,2,100%,39.05,20.32,0.22,7.90,29471.83,11889.02,2203.61,true
15,SEQUENTIAL,2,100%,23.77,21.83,0.26,10.12,25773.94,8378.53,2204.08,true
16,SEQUENTIAL,2,100%,21.40,22.57,0.11,5.71,25113.58,11990.48,2183.26,true
17,SEQUENTIAL,2,100%,14.29,34.86,0.25,7.11,27233.43,11597.36,2189.71,true
18,SEQUENTIAL,2,100%,28.68,17.00,0.15,6.14,25398.38,12244.70,2470.56,true
19,SEQUENTIAL,2,100%,46.54,42.50,0.13,9.72,28017.74,12613.05,2219.39,true
20,SEQUENTIAL,2,100%,14.63,23.25,0.11,4.75,31120.49,10095.17,2185.28,true
21,SEQUENTIAL,2,100%,22.77,23.32,0.13,6.16,26079.30,20529.09,2191.77,true
22,SEQUENTIAL,2,100%,29.85,17.50,0.14,6.35,27103.60,12982.15,2211.96,true
23,SEQUENTIAL,2,100%,27.02,23.85,0.16,6.06,25207.38,10912.92,2210.88,true
24,SEQUENTIAL,2,100%,14.88,38.58,0.14,6.21,24721.91,12155.78,2335.18,true
25,SEQUENTIAL,2,100%,26.83,16.50,0.19,5.97,26191.92,15041.07,2209.17,true
